"id","min","mean","max","sd","difference","magnitud","clase"
1,23.3,28.98,35.87,1.17,4.46,6.89,"Foresta"
2,23.27,33.05,39.11,1.41,0.39,6.06,"Pasto"
3,23.27,31.37,37.58,1.37,2.07,6.21,"Suelo exposto"
4,23.1,24.51,34.7,1.15,8.93,10.19,"Agua"
5,25.89,33.44,38.74,1.04,0,5.3,"Area urbana"
